"Seller SKU ID","Brand","Model Number","Painting Type","Painting Theme","Width (inch)","Height (inch)","Weight (kg)","Pack of","Frame Included","Panel View","Main Image URL","Other Image URL 1","Other Image URL 2","Other Image URL 3","Group ID","Model Name","Description","Sales Package","Key Features","Search Keywords","Video URL","Frame Color","Frame Material","Artist Name","Regional Speciality","Art Form Type","Wall Mount","Shape","Other Dimensions","Water Resistant","Other Features","Domestic Warranty","Domestic Warranty - Measuring Unit","International Warranty","International Warranty - Measuring Unit","Warranty Summary","Warranty Service Type","Covered in Warranty","Not Covered in Warranty","Base Material","Ink Type","Glass Frame","EAN/UPC","Size"
"FF100002","MONTAGE","9959J","Digital Reprint","Floral","16","13","1.50","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100002_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (16 X 13 inch), Printed on Paper","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Paper; Framed Art Print. Image Size: 12 X 9; 
Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Mount: 1 inch, Color: offwhite, it enhances the look of this artwork. 
Product Size: 16 X 13 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Paper; Image Print Size: 12 X 9; Frame: Simple Black Small (1.22inch, Polystyrene). Mount: 1 inch, Color: offwhite. Product Size: 16 X 13 inchAcrylic covered; ","Printed on Paper, size: 16 X 13 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, 1 inch offwhite mount adds classy look to this art. , Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Paper","","Yes","","M"
"FF100004","MONTAGE","9959J","Digital Reprint","Floral","14","11","1.50","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100004_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (14 X 11 inch), Printed on Canvas","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Canvas; Framed Art Print. Image Size: 12 X 9; 
Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Product Size: 14 X 11 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Canvas; Image Print Size: 12 X 9; Frame: Simple Black Small (1.22inch, Polystyrene). Product Size: 14 X 11 inch","Printed on Canvas, size: 14 X 11 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Canvas","","No","","M"
"FF100006","MONTAGE","9959J","Digital Reprint","Floral","22","18","2.00","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100006_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (22 X 18 inch), Printed on Paper","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Paper; Framed Art Print. Image Size: 18 X 14; 
Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Mount: 1 inch, Color: offwhite, it enhances the look of this artwork. 
Product Size: 22 X 18 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Paper; Image Print Size: 18 X 14; Frame: Simple Black Small (1.22inch, Polystyrene). Mount: 1 inch, Color: offwhite. Product Size: 22 X 18 inchAcrylic covered; ","Printed on Paper, size: 22 X 18 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, 1 inch offwhite mount adds classy look to this art. , Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Paper","","Yes","","M"
"FF100008","MONTAGE","9959J","Digital Reprint","Floral","20","16","2.00","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100008_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (20 X 16 inch), Printed on Canvas","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Canvas; Framed Art Print. Image Size: 18 X 14; 
Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Product Size: 20 X 16 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Canvas; Image Print Size: 18 X 14; Frame: Simple Black Small (1.22inch, Polystyrene). Product Size: 20 X 16 inch","Printed on Canvas, size: 20 X 16 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Canvas","","No","","M"
"FF100010","MONTAGE","9959J","Digital Reprint","Floral","28","22","2.50","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100010_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (28 X 22 inch), Printed on Paper","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Paper; Framed Art Print. Image Size: 24 X 18; 
Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Mount: 1 inch, Color: offwhite, it enhances the look of this artwork. 
Product Size: 28 X 22 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Paper; Image Print Size: 24 X 18; Frame: Simple Black Small (1.22inch, Polystyrene). Mount: 1 inch, Color: offwhite. Product Size: 28 X 22 inchAcrylic covered; ","Printed on Paper, size: 28 X 22 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, 1 inch offwhite mount adds classy look to this art. , Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Paper","","Yes","","M"
"FF100012","MONTAGE","9959J","Digital Reprint","Floral","26","20","2.50","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100012_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (26 X 20 inch), Printed on Canvas","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Canvas; Framed Art Print. Image Size: 24 X 18; 
Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Product Size: 26 X 20 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Canvas; Image Print Size: 24 X 18; Frame: Simple Black Small (1.22inch, Polystyrene). Product Size: 26 X 20 inch","Printed on Canvas, size: 26 X 20 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Canvas","","No","","M"
"FF100014","MONTAGE","9959J","Digital Reprint","Floral","36","29","4.00","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100014_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (36 X 29 inch), Printed on Paper","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Paper; Framed Art Print. Image Size: 30 X 23; 
Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Mount: 2 inch, Color: offwhite, it enhances the look of this artwork. 
Product Size: 36 X 29 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Paper; Image Print Size: 30 X 23; Frame: Simple Black Small (1.22inch, Polystyrene). Mount: 2 inch, Color: offwhite. Product Size: 36 X 29 inchAcrylic covered; ","Printed on Paper, size: 36 X 29 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, 2 inch offwhite mount adds classy look to this art. , Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Paper","","Yes","","M"
"FF100016","MONTAGE","9959J","Digital Reprint","Floral","32","25","4.00","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100016_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (32 X 25 inch), Printed on Canvas","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Canvas; Framed Art Print. Image Size: 30 X 23; 
Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Product Size: 32 X 25 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Canvas; Image Print Size: 30 X 23; Frame: Simple Black Small (1.22inch, Polystyrene). Product Size: 32 X 25 inch","Printed on Canvas, size: 32 X 25 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Canvas","","No","","M"
"FF100018","MONTAGE","9959J","Digital Reprint","Floral","42","33","5.00","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100018_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (42 X 33 inch), Printed on Paper","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Paper; Framed Art Print. Image Size: 36 X 27; 
Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Mount: 2 inch, Color: offwhite, it enhances the look of this artwork. 
Product Size: 42 X 33 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Paper; Image Print Size: 36 X 27; Frame: Simple Black Small (1.22inch, Polystyrene). Mount: 2 inch, Color: offwhite. Product Size: 42 X 33 inchAcrylic covered; ","Printed on Paper, size: 42 X 33 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, 2 inch offwhite mount adds classy look to this art. , Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Paper","","Yes","","M"
"FF100020","MONTAGE","9959J","Digital Reprint","Floral","38","29","5.00","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100020_34_9959J_lowres.jpg","","","","207291","Floral painting with frame, Title: Savvy with Yellow Succulents; Artist: Loreth, Lanie; Framed Art Print (38 X 29 inch), Printed on Canvas","Painting with frame, Title: Savvy with Yellow Succulents, Artist: Loreth, Lanie.
Printed on: Canvas; Framed Art Print. Image Size: 36 X 27; 
Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Product Size: 38 X 29 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Canvas; Image Print Size: 36 X 27; Frame: Simple Black Small (1.22inch, Polystyrene). Product Size: 38 X 29 inch","Printed on Canvas, size: 38 X 29 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. Custom made for you and ready to be hung on the wall.","FRAME PAINTING ROOM, WITH YELLOW HOME ART WALL SUCCULENTS FLORAL FLOWERS LIVING ROOM DECOR FOR BED SAVVY","","Black","Polystyrene","Loreth, Lanie","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Canvas","","No","","M"
"FF100022","MONTAGE","16123","Digital Reprint","Floral","16","10","1.50","1","Yes","Single","C:\artevenue\estore/artevenue//static/flipkart_data/images/FF100022_29_16123_lowres.jpg","","","","36137","Floral painting with frame, Title: Poppies On Slate; Artist: Colbert, Peter; Framed Art Print (16 X 10 inch), Printed on Paper","Painting with frame, Title: Poppies On Slate, Artist: Colbert, Peter.
Printed on: Paper; Framed Art Print. Image Size: 12 X 6; 
Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Mount: 1 inch, Color: offwhite, it enhances the look of this artwork. 
Product Size: 16 X 10 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Paper; Image Print Size: 12 X 6; Frame: Simple Black Small (1.22inch, Polystyrene). Mount: 1 inch, Color: offwhite. Product Size: 16 X 10 inchAcrylic covered; ","Printed on Paper, size: 16 X 10 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, 1 inch offwhite mount adds classy look to this art. , Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. Custom made for you and ready to be hung on the wall.","ABSTRACT CONTEMPORARY FRAME PAINTING ROOM, WITH HOME ART WALL FLORAL LIVING ROOM DECOR FOR BED","","Black","Polystyrene","Colbert, Peter","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Paper","","Yes","","M"
"FF100024","MONTAGE","16123","Digital Reprint","Floral","14","8","1.50","1","Yes","Single","","","","","36137","Floral painting with frame, Title: Poppies On Slate; Artist: Colbert, Peter; Framed Art Print (14 X 8 inch), Printed on Canvas","Painting with frame, Title: Poppies On Slate, Artist: Colbert, Peter.
Printed on: Canvas; Framed Art Print. Image Size: 12 X 6; 
Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Product Size: 14 X 8 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Canvas; Image Print Size: 12 X 6; Frame: Simple Black Small (1.22inch, Polystyrene). Product Size: 14 X 8 inch","Printed on Canvas, size: 14 X 8 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. Custom made for you and ready to be hung on the wall.","ABSTRACT CONTEMPORARY FRAME PAINTING ROOM, WITH HOME ART WALL FLORAL LIVING ROOM DECOR FOR BED","","Black","Polystyrene","Colbert, Peter","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Canvas","","No","","M"
"FF100026","MONTAGE","16123","Digital Reprint","Floral","22","13","2.00","1","Yes","Single","","","","","36137","Floral painting with frame, Title: Poppies On Slate; Artist: Colbert, Peter; Framed Art Print (22 X 13 inch), Printed on Paper","Painting with frame, Title: Poppies On Slate, Artist: Colbert, Peter.
Printed on: Paper; Framed Art Print. Image Size: 18 X 9; 
Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Mount: 1 inch, Color: offwhite, it enhances the look of this artwork. 
Product Size: 22 X 13 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Paper; Image Print Size: 18 X 9; Frame: Simple Black Small (1.22inch, Polystyrene). Mount: 1 inch, Color: offwhite. Product Size: 22 X 13 inchAcrylic covered; ","Printed on Paper, size: 22 X 13 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, 1 inch offwhite mount adds classy look to this art. , Paper: NovaJet Matte Coated Premium Paper 230 (MCP 230). It is a heavy weight, bright white, smooth finish matte paper, top-coated with an ink-receptive layer. Ideally suitable for printing high quality fine art reproduction. The artwork is covered with clear acrylic for added protection, durability and clear visibility. Custom made for you and ready to be hung on the wall.","ABSTRACT CONTEMPORARY FRAME PAINTING ROOM, WITH HOME ART WALL FLORAL LIVING ROOM DECOR FOR BED","","Black","Polystyrene","Colbert, Peter","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Paper","","Yes","","M"
"FF100028","MONTAGE","16123","Digital Reprint","Floral","20","11","2.00","1","Yes","Single","","","","","36137","Floral painting with frame, Title: Poppies On Slate; Artist: Colbert, Peter; Framed Art Print (20 X 11 inch), Printed on Canvas","Painting with frame, Title: Poppies On Slate, Artist: Colbert, Peter.
Printed on: Canvas; Framed Art Print. Image Size: 18 X 9; 
Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. 
Frame: Simple Black Small (1.22 inch). Frame is made of polystyrene, which is light weight, long lasting and has very good finish. 
Product Size: 20 X 11 inch. 
It comes with hooks at the back, ready to be hung on the wall.","One piece art with frame, printed on Canvas; Image Print Size: 18 X 9; Frame: Simple Black Small (1.22inch, Polystyrene). Product Size: 20 X 11 inch","Printed on Canvas, size: 20 X 11 inch. , Frame: Simple Black Small (1.22 inch). It's a high quality frame made of Polystyrene, which is light weight, long lasting and has very good finish. 
, Canvas: NovaJet Artistic Matte Canvas 410 (AMC 410). It is a water-resistant canvas, top-coated with an ink-receptive layer. Ideally suitable for fine art reproductions. Custom made for you and ready to be hung on the wall.","ABSTRACT CONTEMPORARY FRAME PAINTING ROOM, WITH HOME ART WALL FLORAL LIVING ROOM DECOR FOR BED","","Black","Polystyrene","Colbert, Peter","","","Yes","Square/Rectangle","","No","","1","Month","","","Carries 1 month domestic and international warranty against manufacturing defects","Please email us picture of damage or other issues. After our inspection of the pictures, and our approval, please ship the products us and we will send the replacement.","Covers the art print and the frame","","Canvas","","No","","M"
